"","X","lng","lat","order","piece","id","group","Quantity","Year","From","To"
"482",482,17.5873983832368,44.7766589660303,20,1,22,22.1,550,2013,"Czech Republic","Bosnia and Herzegovina"
"483",483,17.7109213298157,44.5133954498299,21,1,22,22.1,550,2013,"Czech Republic","Bosnia and Herzegovina"
"484",484,17.833333,44.25,22,1,22,22.1,550,2013,"Czech Republic","Bosnia and Herzegovina"
"485",485,15,49.75,1,1,23,23.1,228,2013,"Czech Republic","Bulgaria"
"486",486,15.5355039497866,49.4498042283979,2,1,23,23.1,228,2013,"Czech Republic","Bulgaria"
"487",487,16.0644629845934,49.1471662662123,3,1,23,23.1,228,2013,"Czech Republic","Bulgaria"
"488",488,16.5869744548686,48.8421415589508,4,1,23,23.1,228,2013,"Czech Republic","Bulgaria"
"489",489,17.1031360086479,48.5347843692869,5,1,23,23.1,228,2013,"Czech Republic","Bulgaria"
"490",490,17.6130454490224,48.2251477898769,6,1,23,23.1,228,2013,"Czech Republic","Bulgaria"
"491",491,18.1168006015819,47.9132837572812,7,1,23,23.1,228,2013,"Czech Republic","Bulgaria"
"492",492,18.6144991914094,47.5992430668677,8,1,23,23.1,228,2013,"Czech Republic","Bulgaria"
"493",493,19.1062387291994,47.2830753885811,9,1,23,23.1,228,2013,"Czech Republic","Bulgaria"
"494",494,19.5921164060785,46.9648292834725,10,1,23,23.1,228,2013,"Czech Republic","Bulgaria"
"495",495,20.0722289967066,46.6445522208869,11,1,23,23.1,228,2013,"Czech Republic","Bulgaria"
"496",496,20.5466727702478,46.3222905962157,12,1,23,23.1,228,2013,"Czech Republic","Bulgaria"
"497",497,21.0155434088055,45.9980897491284,13,1,23,23.1,228,2013,"Czech Republic","Bulgaria"
"498",498,21.4789359329263,45.6719939822016,14,1,23,23.1,228,2013,"Czech Republic","Bulgaria"
"499",499,21.9369446337866,45.3440465798721,15,1,23,23.1,228,2013,"Czech Republic","Bulgaria"
"500",500,22.3896630116904,45.0142898276446,16,1,23,23.1,228,2013,"Czech Republic","Bulgaria"
"501",501,22.8371837205132,44.682765031492,17,1,23,23.1,228,2013,"Czech Republic","Bulgaria"
"502",502,23.2795985177455,44.3495125373886,18,1,23,23.1,228,2013,"Czech Republic","Bulgaria"
"503",503,23.7169982197975,44.0145717509252,19,1,23,23.1,228,2013,"Czech Republic","Bulgaria"
"504",504,24.1494726622435,43.6779811569563,20,1,23,23.1,228,2013,"Czech Republic","Bulgaria"
"505",505,24.5771106646938,43.3397783392357,21,1,23,23.1,228,2013,"Czech Republic","Bulgaria"
"506",506,25,43,22,1,23,23.1,228,2013,"Czech Republic","Bulgaria"
"529",529,15,49.75,1,1,25,25.1,29,2013,"Czech Republic","Denmark"
"530",530,14.7924017855813,50.0520132503469,2,1,25,25.1,29,2013,"Czech Republic","Denmark"
"531",531,14.5821756169177,50.3536515530211,3,1,25,25.1,29,2013,"Czech Republic","Denmark"
"532",532,14.3692628047725,50.6549060519947,4,1,25,25.1,29,2013,"Czech Republic","Denmark"
"533",533,14.1536030853387,50.9557676319711,5,1,25,25.1,29,2013,"Czech Republic","Denmark"
"534",534,13.9351345712524,51.2562269091928,6,1,25,25.1,29,2013,"Czech Republic","Denmark"
"535",535,13.7137937010373,51.5562742218823,7,1,25,25.1,29,2013,"Czech Republic","Denmark"
"536",536,13.4895151869403,51.8558996202982,8,1,25,25.1,29,2013,"Czech Republic","Denmark"
"537",537,13.2622319611161,52.1550928563914,9,1,25,25.1,29,2013,"Czech Republic","Denmark"
